agent_a,agent_b,games,wins_a,wins_b,ties,win_rate_a,ci_low,ci_high
random,greedy,20,9,11,0,0.450000,0.258198,0.657915
random,uct,20,8,11,1,0.400000,0.218807,0.613418
random,rave,20,1,18,1,0.050000,0.008881,0.236131
random,curriculum_ref,20,6,9,5,0.300000,0.145477,0.518973
greedy,uct,20,1,19,0,0.050000,0.008881,0.236131
greedy,rave,20,2,18,0,0.100000,0.027866,0.301034
greedy,curriculum_ref,20,10,10,0,0.500000,0.299298,0.700702
uct,rave,20,7,13,0,0.350000,0.181192,0.567146
uct,curriculum_ref,20,14,6,0,0.700000,0.481027,0.854523
rave,curriculum_ref,20,12,8,0,0.600000,0.386582,0.781193
